row_no,part_id,routing_status,machine_cell,routing_material_grade,machining_status,baseline_cycle_time_min,capacity_ready_date,material_status,inspection_gate_status,machining_blocker,earliest_production_release_date,routing_note
22,MP-021,Ready,VMC-2,42CrMo4 QT,Ready,34.7,08/10/2026,Available,FAI Accepted,None,08/10/2026,Routing snapshot for approved machining path.
23,MP-022,Hold,VMC-2,S355JR,Hold,34.8,02/11/2026,Fixture Not Accepted,FAI Pending,Production fixture acceptance after target,02/11/2026,Routing evidence blocks machining readiness.
24,MP-023,Hold,VMC-1,AISI 304,Hold,,,Evidence Missing,Evidence Missing,Material certificate and power-on equivalent machine acceptance evidence missing,,No defensible production release date.
25,MP-024,Ready,VMC-1,EN8,Ready,18,11/10/2026,Available,FAI Accepted,None,11/10/2026,Routing snapshot for approved machining path.
26,MP-025,Queue Review,VMC-2,S355JR,Queue Pending,20.2,12/10/2026,Available,FAI Pending,Capacity review pending,12/10/2026,Routing snapshot for approved machining path.
27,MP-026,Ready,HMC-1,AISI 304,Ready,22.4,13/10/2026,Available,FAI Accepted,None,13/10/2026,Routing snapshot for approved machining path.
28,MP-027,Ready,Mill-Turn-1,42CrMo4 QT,Ready,23.4,14/10/2026,Available,FAI Accepted,None,14/10/2026,Routing snapshot for approved machining path.
29,MP-028,Ready,VMC-1,6082-T6 Al,Ready,26.1,15/10/2026,Available,FAI Accepted,None,15/10/2026,Routing snapshot for approved machining path.
30,MP-029,Ready,VMC-2,6082-T6 Al,Ready,24.4,28/10/2026,Available,FAI Accepted,No blocker; release date supplied by ECO-GL-029,28/10/2026,Fills blank master release date.
31,MP-030,Queue Review,HMC-1,EN8,Queue Pending,28.8,17/10/2026,Available,FAI Pending,Capacity review pending,17/10/2026,Routing snapshot for approved machining path.
32,MP-031,Ready,Mill-Turn-1,S355JR,Ready,31,18/10/2026,Available,FAI Accepted,None,18/10/2026,Routing snapshot for approved machining path.
33,MP-032,Ready,VMC-1,AISI 304,Ready,33.2,19/10/2026,Available,FAI Accepted,None,19/10/2026,Routing snapshot for approved machining path.
34,MP-033,Ready,VMC-2,42CrMo4 QT,Ready,34.2,20/10/2026,Available,FAI Accepted,None,20/10/2026,Routing snapshot for approved machining path.
35,MP-034,Ready,HMC-1,6082-T6 Al,Ready,36.4,21/10/2026,Available,FAI Accepted,None,21/10/2026,Routing snapshot for approved machining path.
36,MP-035,Queue Review,Mill-Turn-1,17-4PH H1150,Queue Pending,39.1,22/10/2026,Available,FAI Pending,Capacity review pending,22/10/2026,Routing snapshot for approved machining path.
37,MP-036,Ready,VMC-1,EN8,Ready,18,23/10/2026,Available,FAI Accepted,None,23/10/2026,Routing snapshot for approved machining path.
38,MP-037,Ready,VMC-2,S355JR,Ready,20.2,24/10/2026,Available,FAI Accepted,None,24/10/2026,Routing snapshot for approved machining path.
39,MP-038,Ready,HMC-1,AISI 304,Ready,22.4,25/10/2026,Available,FAI Accepted,None,25/10/2026,Routing snapshot for approved machining path.
40,MP-039,Ready,Mill-Turn-1,42CrMo4 QT,Ready,23.4,26/10/2026,Available,FAI Accepted,None,26/10/2026,Routing snapshot for approved machining path.
41,MP-040,Queue Review,VMC-1,6082-T6 Al,Queue Pending,25.6,27/10/2026,Available,FAI Pending,Capacity review pending,27/10/2026,Routing snapshot for approved machining path.
42,MP-041,Ready,VMC-2,17-4PH H1150,Ready,27.8,28/10/2026,Available,FAI Accepted,None,28/10/2026,Routing snapshot for approved machining path.
43,MP-042,Ready,HMC-1,EN8,Ready,29.3,08/10/2026,Available,FAI Accepted,None,08/10/2026,Routing snapshot for approved machining path.
44,MP-043,Ready,Mill-Turn-1,S355JR,Ready,31,09/10/2026,Available,FAI Accepted,None,09/10/2026,Routing snapshot for approved machining path.
45,MP-044,Hold,HMC-1,42CrMo4 QT,Hold,37.2,08/11/2026,Heat Treatment Cert Pending,FAI Hold,Heat-treatment certificate package incomplete,08/11/2026,Supplier material hold.
46,MP-045,Queue Review,VMC-2,42CrMo4 QT,Queue Pending,34.2,11/10/2026,Available,FAI Pending,Capacity review pending,11/10/2026,Routing snapshot for approved machining path.
47,MP-046,Ready,HMC-1,6082-T6 Al,Ready,36.4,12/10/2026,Available,FAI Accepted,None,12/10/2026,Routing snapshot for approved machining path.
48,MP-047,Ready,Mill-Turn-1,17-4PH H1150,Ready,38.6,13/10/2026,Available,FAI Accepted,None,13/10/2026,Routing snapshot for approved machining path.
49,MP-048,Ready,VMC-1,EN8,Ready,18,14/10/2026,Available,FAI Accepted,None,14/10/2026,Routing snapshot for approved machining path.
